,no,date,lon,lat,depth,scale,month
68,小區域,2013-03-08 09:57:00,121.43,24.31,7.6,3.5,3
70,小區域,2013-03-08 17:08:00,121.43,24.3,6.9,3.4,3
72,小區域,2013-03-08 19:26:00,121.43,24.33,7.3,3.0,3
74,小區域,2013-03-08 21:56:00,121.97,24.45,13.7,3.2,3
76,小區域,2013-03-09 07:54:00,121.56,23.74,20.4,3.1,3
78,第033號,2013-03-09 17:15:00,121.47,23.94,17.5,3.2,3
80,第034號,2013-03-10 16:02:00,121.45,24.32,5.8,3.8,3
82,小區域,2013-03-11 03:47:00,121.95,24.47,12.6,3.0,3
84,小區域,2013-03-11 04:55:00,121.45,24.29,7.3,3.2,3
86,小區域,2013-03-11 11:32:00,121.45,24.32,6.7,3.4,3
88,小區域,2013-03-11 11:59:00,121.48,24.31,7.3,2.9,3
90,小區域,2013-03-12 09:15:00,121.45,24.35,6.3,3.3,3
92,小區域,2013-03-12 10:30:00,121.43,24.33,5.9,3.2,3
94,小區域,2013-03-12 11:01:00,121.43,24.34,6.6,3.2,3
96,小區域,2013-03-12 12:11:00,121.95,24.46,12.2,3.1,3
98,小區域,2013-03-12 12:41:00,120.87,22.82,6.2,3.1,3
100,小區域,2013-03-12 14:01:00,121.44,24.35,6.2,3.0,3
102,小區域,2013-03-12 14:14:00,121.45,24.34,6.2,3.6,3
104,小區域,2013-03-12 15:18:00,121.44,24.34,6.7,3.3,3
106,第035號,2013-03-12 17:03:00,121.78,24.36,51.9,5.0,3
108,第036號,2013-03-13 08:59:00,121.47,24.35,7.9,3.6,3
110,小區域,2013-03-13 09:00:00,121.47,24.35,8.0,3.9,3
112,小區域,2013-03-13 11:51:00,121.81,24.17,9.8,4.4,3
114,小區域,2013-03-13 18:06:00,121.44,24.28,6.9,2.7,3
116,小區域,2013-03-13 18:40:00,121.8,24.17,11.0,3.8,3
118,小區域,2013-03-13 22:01:00,121.44,24.32,6.2,3.1,3
120,小區域,2013-03-14 09:53:00,121.92,24.41,26.6,4.0,3
122,小區域,2013-03-16 02:39:00,121.42,24.3,7.6,3.2,3
124,小區域,2013-03-16 04:06:00,121.68,24.13,9.8,2.5,3
126,小區域,2013-03-17 07:18:00,121.46,24.32,6.3,3.0,3
128,小區域,2013-03-17 09:25:00,120.76,23.13,5.0,2.7,3
130,小區域,2013-03-17 18:06:00,121.95,24.46,13.5,3.2,3
132,第037號,2013-03-17 21:53:00,120.93,23.68,12.3,4.4,3
134,小區域,2013-03-19 05:07:00,121.65,24.03,30.4,3.6,3
136,第038號,2013-03-19 10:50:00,121.71,23.93,7.9,3.5,3
138,小區域,2013-03-19 20:51:00,121.44,24.28,6.8,3.2,3
140,第039號,2013-03-20 14:05:00,120.85,22.65,8.6,3.6,3
142,第040號,2013-03-20 15:22:00,121.95,24.45,12.1,4.6,3
144,小區域,2013-03-20 17:15:00,121.96,24.45,13.0,3.0,3
146,小區域,2013-03-20 17:25:00,121.95,24.45,10.3,3.2,3
148,小區域,2013-03-21 00:38:00,121.95,24.45,12.5,2.9,3
150,小區域,2013-03-21 15:37:00,121.05,22.78,5.0,2.6,3
152,小區域,2013-03-21 18:50:00,121.05,22.78,4.5,2.3,3
154,小區域,2013-03-23 06:41:00,121.44,23.84,19.3,2.9,3
156,小區域,2013-03-23 13:22:00,121.96,24.46,13.4,3.0,3
158,小區域,2013-03-24 13:51:00,121.44,22.87,17.6,3.2,3
160,小區域,2013-03-25 13:21:00,121.69,24.01,38.0,3.6,3
162,小區域,2013-03-26 00:21:00,121.95,24.46,12.4,2.9,3
164,小區域,2013-03-26 11:16:00,121.47,24.35,5.9,3.2,3
166,小區域,2013-03-27 04:47:00,121.89,24.46,20.8,3.0,3
168,第041號,2013-03-27 10:03:00,121.05,23.9,19.4,6.2,3
170,小區域,2013-03-27 10:11:00,121.02,23.89,16.6,3.9,3
172,小區域,2013-03-27 10:12:00,121.03,23.93,15.0,3.7,3
174,小區域,2013-03-27 10:17:00,121.03,23.89,17.1,3.8,3
176,第042號,2013-03-27 11:30:00,121.0,23.93,14.0,4.5,3
178,小區域,2013-03-27 12:14:00,121.02,23.96,15.1,3.7,3
180,小區域,2013-03-27 23:49:00,121.74,24.27,14.7,2.6,3
182,第043號,2013-03-28 02:46:00,120.99,23.93,13.1,4.0,3
184,小區域,2013-03-28 03:43:00,121.8,24.25,16.3,3.0,3
186,小區域,2013-03-28 04:39:00,121.81,24.26,16.3,2.9,3
188,小區域,2013-03-28 09:52:00,120.99,23.93,14.3,3.5,3
190,小區域,2013-03-28 16:38:00,121.44,24.33,6.5,3.0,3
192,小區域,2013-03-29 05:37:00,121.0,23.91,14.3,3.6,3
194,小區域,2013-03-31 00:13:00,121.45,24.3,6.3,3.2,3
196,小區域,2013-03-31 08:49:00,121.97,21.18,162.2,5.5,3
0,第044號,2013-04-01 14:18:00,121.04,23.88,17.4,4.4,4
2,小區域,2013-04-02 22:37:00,120.75,23.16,5.9,2.5,4
4,第045號,2013-04-02 23:16:00,120.55,23.22,15.6,3.5,4
6,小區域,2013-04-04 21:06:00,121.58,23.92,8.9,2.5,4
8,第046號,2013-04-06 17:34:00,120.68,23.21,9.9,3.5,4
10,小區域,2013-04-07 12:42:00,122.04,24.83,13.2,3.8,4
12,小區域,2013-04-07 21:01:00,121.06,23.89,18.7,3.5,4
14,第047號,2013-04-08 07:36:00,121.81,24.34,9.5,3.1,4
16,小區域,2013-04-08 08:53:00,121.48,23.93,14.0,2.5,4
18,第048號,2013-04-08 10:23:00,121.81,24.34,8.0,3.2,4
20,小區域,2013-04-08 10:30:00,121.81,24.35,8.7,2.4,4
22,第049號,2013-04-09 07:13:00,121.86,24.79,99.2,4.1,4
24,小區域,2013-04-09 09:41:00,120.25,23.2,16.5,2.8,4
