Date,From,To,Flight_Number,Airline,Distance,Duration,Seat,Seat_Type,Class,Reason,Plane,Registration,Trip,Note,From_OID,To_OID,Airline_OID,Plane_OID
- -,TPE,HAK,Hainan Airlines (HU),Hainan Airlines,773,02:02,,,,,738$gc,,,"Direct",2276,4120,2660
- -,TPE,HAN,EVA Air (BR),EVA Air,1014,02:31,,,,,M90$gc,,,"Codeshare",2276,3199,2091
- -,TPE,HAN,China Airlines (CI),China Airlines,1014,02:31,,,,,333 343$gc,,,"Direct",2276,3199,1756
- -,TPE,HAN,Vietnam Airlines (VN),Vietnam Airlines,1014,02:31,,,,,321$gc,,,"Direct",2276,3199,5309
- -,TPE,HET,EVA Air (BR),EVA Air,1216,02:55,,,,,321$gc,,,"Direct",2276,6345,2091
- -,TPE,HET,Air China (CA),Air China,1216,02:55,,,,,321$gc,,,"Direct",2276,6345,751
- -,TPE,HFE,Primaris Airlines (FE),Primaris Airlines,520,01:32,,,,,M83$gc,,,"Direct",2276,3389,4044
- -,TPE,HFE,China Eastern Airlines (MU),China Eastern Airlines,520,01:32,,,,,320$gc,,,"Direct",2276,3389,1758
- -,TPE,HGH,EVA Air (BR),EVA Air,359,01:13,,,,,332 744$gc,,,"Direct",2276,3386,2091
- -,TPE,HGH,Air China (CA),Air China,359,01:13,,,,,321 332 744$gc,,,"Direct",2276,3386,751
- -,TPE,HGH,Xiamen Airlines (MF),Xiamen Airlines,359,01:13,,,,,738$gc,,,"Direct",2276,3386,5484
- -,TPE,HIJ,China Airlines (CI),China Airlines,951,02:24,,,,,738$gc,,,"Direct",2276,2326,1756
- -,TPE,HKD,EVA Air (BR),EVA Air,1605,03:42,,,,,332$gc,,,"Direct",2276,2288,2091
- -,TPE,HKD,TransAsia Airways (GE),TransAsia Airways,1605,03:42,,,,,330$gc,,,"Direct",2276,2288,5038
- -,TPE,HKD,All Nippon Airways (NH),All Nippon Airways,1605,03:42,,,,,332$gc,,,"Codeshare",2276,2288,324
- -,TPE,HKG,EVA Air (BR),EVA Air,500,01:30,,,,,77W 321 332 333 74E M90 744$gc,,,"Direct",2276,3077,2091
- -,TPE,HKG,China Airlines (CI),China Airlines,500,01:30,,,,,333 744 343 738$gc,,,"Direct",2276,3077,1756
- -,TPE,HKG,Cathay Pacific (CX),Cathay Pacific,500,01:30,,,,,773 772 333 343 744 77W$gc,,,"Direct",2276,3077,1680
- -,TPE,HKG,Hong Kong Airlines (HX),Hong Kong Airlines,500,01:30,,,,,332 333$gc,,,"Direct",2276,3077,2773
- -,TPE,HKG,Japan Airlines (JL),Japan Airlines,500,01:30,,,,,773$gc,,,"Codeshare",2276,3077,2987
- -,TPE,HKG,Dragonair (KA),Dragonair,500,01:30,,,,,333 320$gc,,,"Direct",2276,3077,2056
- -,TPE,HNL,China Airlines (CI),China Airlines,5057,10:36,,,,,333$gc,,,"Direct",2276,3728,1756
- -,TPE,HNL,Hawaiian Airlines (HA),Hawaiian Airlines,5057,10:36,,,,,332$gc,,,"Direct",2276,3728,2688
- -,TPE,HRB,EVA Air (BR),EVA Air,1445,03:23,,,,,M90$gc,,,"Direct",2276,3400,2091
- -,TPE,HRB,China Southern Airlines (CZ),China Southern Airlines,1445,03:23,,,,,320 321$gc,,,"Direct",2276,3400,1767
- -,TPE,ICN,EVA Air (BR),EVA Air,908,02:18,,,,,332 333$gc,,,"Direct",2276,3930,2091
- -,TPE,ICN,China Airlines (CI),China Airlines,908,02:18,,,,,333 738$gc,,,"Direct",2276,3930,1756
- -,TPE,ICN,Cathay Pacific (CX),Cathay Pacific,908,02:18,,,,,772 773$gc,,,"Direct",2276,3930,1680
- -,TPE,ICN,Korean Air (KE),Korean Air,908,02:18,,,,,333 73H 772 73J$gc,,,"Direct",2276,3930,3163
- -,TPE,ICN,Asiana Airlines (OZ),Asiana Airlines,908,02:18,,,,,333 772 321 77L$gc,,,"Direct",2276,3930,28
- -,TPE,ICN,Thai Airways International (TG),Thai Airways International,908,02:18,,,,,330$gc,,,"Direct",2276,3930,4940
- -,TPE,ICN,Scoot (TZ),Scoot,908,02:18,,,,,772$gc,,,"Direct",2276,3930,17891
- -,TPE,INC,Primaris Airlines (FE),Primaris Airlines,1283,03:03,,,,,M83$gc,,,"Direct",2276,4085,4044
- -,TPE,INC,China Eastern Airlines (MU),China Eastern Airlines,1283,03:03,,,,,320$gc,,,"Direct",2276,4085,1758
- -,TPE,JFK,EVA Air (BR),EVA Air,7790,16:04,,,,,77W$gc,,,"Direct",2276,3797,2091
- -,TPE,KHN,China Airlines (CI),China Airlines,419,01:20,,,,,738 333$gc,,,"Direct",2276,3384,1756
- -,TPE,KHN,China Eastern Airlines (MU),China Eastern Airlines,419,01:20,,,,,320$gc,,,"Direct",2276,3384,1758
